"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL5092803";"";"None";"294.36";"0";"1.75";"10c";"N[C@@H](Cc1c[nH]cn1)C(=O)NCc1cccc2ccccc12";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL5237354";"Inhibition of recombinant human ACE2 catalytic activity at 300 uM using Mca-Ala-Pro-Lys-(Dnp)-OH as substrate";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5236554";"1";"Scientific Literature";"J Med Chem";"2021";"None";"DOSE = 300.0 microM";"";""
"CHEMBL404117";"";"None";"383.51";"0";"3.95";"1l";"O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@@H](S)C1CCCC1";"Ki";"'='";"1.8";"nM";"8.74";"";"";"UO_0000065";"22.80";"0.44";"4.79";"13.17";"0";"CHEMBL933038";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142293";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL252391";"";"None";"371.50";"0";"3.81";"1i";"CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O";"Ki";"'='";"1.5";"nM";"8.82";"";"";"UO_0000065";"23.75";"0.46";"5.01";"13.29";"0";"CHEMBL933038";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142293";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL253224";"";"None";"311.40";"0";"1.85";"1e";"CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O";"Ki";"'='";"1.3";"nM";"8.89";"";"";"UO_0000065";"28.54";"0.58";"7.04";"10.26";"0";"CHEMBL928315";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL257726";"";"None";"343.45";"0";"3.17";"1f";"CC[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O";"Ki";"'='";"1.4";"nM";"8.85";"";"";"UO_0000065";"25.78";"0.50";"5.68";"13.33";"0";"CHEMBL933038";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142293";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL261033";"";"None";"297.29";"0";"1.91";"26";"O=C(O)[C@H](Cc1ccccc1)CP(=O)(O)[C@H]1CCCN1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL4450628";"";"None";"177.03";"None";"None";"MS01";"C[C@H](CS)C(=O)NCB(O)O";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL4374960";"Inhibition of human C-terminal His/FLAG-tagged ACE-2 expressed in HEK293 cells at 100 uM preincubated for 10 mins followed by Mca-Ala-Pro-Lys(Dnp)-OH substrate addition by fluorescence assay relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4373692";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL272925";"";"None";"455.58";"1";"5.16";"1r";"O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@@H](S)Cc1ccc2ccccc2c1";"Ki";"'='";"550.0";"nM";"6.26";"";"";"UO_0000065";"13.74";"0.26";"1.10";"9.43";"0";"CHEMBL933038";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142293";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL4460127";"";"None";"307.18";"None";"None";"MS19";"C[C@H](CS)C(=O)N[C@H](Cc1coc2ccccc12)B(O)O";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL4374960";"Inhibition of human C-terminal His/FLAG-tagged ACE-2 expressed in HEK293 cells at 100 uM preincubated for 10 mins followed by Mca-Ala-Pro-Lys(Dnp)-OH substrate addition by fluorescence assay relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4373692";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL408705";"";"None";"502.55";"1";"3.44";"35";"CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](Cc1ccccc1)P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)O";"Ki";"'='";"920.0";"nM";"6.04";"";"";"UO_0000065";"12.01";"0.24";"2.60";"4.55";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL264665";"";"None";"447.47";"0";"4.50";"17";"CC(C)C[C@@H](NC(=O)OCc1ccccc1)P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)O";"Ki";"'='";"8000.0";"nM";"5.10";"";"";"UO_0000065";"11.39";"0.22";"0.60";"4.51";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL254282";"";"None";"387.50";"0";"3.94";"1l";"CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(Oc2ccccc2)cc1)C(=O)O";"Ki";"'='";"2.2";"nM";"8.66";"";"";"UO_0000065";"22.34";"0.44";"4.72";"11.45";"0";"CHEMBL928315";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL1535";"HYDROXYCHLOROQUINE";"4.0";"335.88";"0";"3.78";"5";"CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12";"IC50";"'='";"720.0";"nM";"6.14";"";"";"UO_0000065";"18.29";"0.36";"2.36";"12.69";"0";"CHEMBL5230436";"Inhibition of human recombinant ACE2 at 50 uM using (7Mca-Y-V-A- D -A-P- K(Knp) as a flurogenic substrate measured after 10 mins by fluorescence based analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5230087";"1";"Scientific Literature";"J Med Chem";"2020";"None";"DOSE = 50.0 microM | TIME = 0.1667 hr";"INHIBITOR";""
"CHEMBL251804";"";"None";"387.50";"0";"3.94";"1j";"CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccccc1Oc1ccccc1)C(=O)O";"Ki";"'='";"0.9";"nM";"9.05";"";"";"UO_0000065";"23.34";"0.46";"5.11";"11.96";"0";"CHEMBL928315";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL398940";"";"None";"129.21";"0";"-1.15";"NAAE";"NCCNCCN1CC1";"IC50";"'='";"57000.0";"nM";"4.24";"";"";"UO_0000065";"32.85";"0.64";"5.39";"10.34";"0";"CHEMBL928323";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL257229";"";"None";"369.49";"0";"3.56";"1k";"O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@@H](S)C1CCC1";"Ki";"'='";"2.4";"nM";"8.62";"";"";"UO_0000065";"23.33";"0.45";"5.06";"12.98";"0";"CHEMBL933038";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142293";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL5278408";"";"None";"392.54";"0";"2.14";"33; VE607";"OC(COc1cccc(OCC(O)CN2CCCCC2)c1)CN1CCCCC1";"IC50";"'='";"1600.0";"nM";"5.80";"";"";"UO_0000065";"14.77";"0.28";"3.66";"8.86";"0";"CHEMBL5230442";"Inhibition of human recombinant ACE2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5230087";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"INHIBITOR";""
"CHEMBL408182";"";"None";"559.56";"1";"2.81";"44-FII";"CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@H](CC(C)C)P(=O)(O)CC(Cc1cc(-c2ccccc2)no1)C(=O)O";"Ki";"'='";"220.0";"nM";"6.66";"";"";"UO_0000065";"11.90";"0.23";"3.85";"3.55";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL404044";"";"None";"343.45";"0";"3.17";"1e";"CC(C)(S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O";"Ki";"'='";"2300.0";"nM";"5.64";"";"";"UO_0000065";"16.42";"0.32";"2.47";"8.49";"0";"CHEMBL933038";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142293";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL257727";"";"None";"329.42";"0";"2.78";"1d";"C[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O";"Ki";"'='";"6.9";"nM";"8.16";"";"";"UO_0000065";"24.77";"0.48";"5.38";"12.29";"0";"CHEMBL933038";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142293";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL254703";"";"None";"401.53";"0";"3.72";"1o";"CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O";"Ki";"'='";"2.7";"nM";"8.57";"";"";"UO_0000065";"21.34";"0.42";"4.85";"11.33";"0";"CHEMBL928315";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL253428";"";"None";"345.46";"0";"3.30";"1g";"CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)O";"Ki";"'='";"2.4";"nM";"8.62";"";"";"UO_0000065";"24.95";"0.49";"5.32";"12.98";"0";"CHEMBL928315";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL405618";"ANALOG OF DYNORPHIN A";"None";"1603.99";"None";"None";"dynorphin A 1-13";"CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)O";"Kcat/Km";"'='";"2.0";"10^6/M/s";"";"";"";"";"";"";"";"";"0";"CHEMBL929269";"Ratio of Kcat to Km for ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL257026";"";"None";"397.54";"0";"4.34";"1m";"O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@@H](S)C1CCCCC1";"Ki";"'='";"65.0";"nM";"7.19";"";"";"UO_0000065";"18.08";"0.35";"2.85";"10.82";"0";"CHEMBL933038";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142293";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL4633785";"XERUBORBACTAM";"1.0";"221.98";"None";"None";"35";"O=C(O)c1c(F)ccc2c1OB(O)[C@@H]1C[C@H]21";"IC50";"'>'";"1000000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4617716";"Inhibition of mammalian ACE-2 (unknown origin) using Mca-APK(Dnp) as substrate preincubated for 10 mins followed by substrate addition measured after 30 mins";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4616632";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";""
"CHEMBL258464";"";"None";"481.49";"0";"4.70";"16";"O=C(N[C@H](Cc1ccccc1)P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)O)OCc1ccccc1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL271224";"";"None";"411.57";"0";"4.73";"1q";"O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@@H](S)CC1CCCCC1";"Ki";"'='";"420.0";"nM";"6.38";"";"";"UO_0000065";"15.49";"0.30";"1.65";"9.60";"0";"CHEMBL933038";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142293";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL500351";"";"None";"262.33";"0";"2.79";"2";"COc1ccc(CSc2nc(C)cc(O)n2)cc1";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL940670";"Inhibition of human recombinant ACE2 at 200 uM by HxBPyne probe-based competitive activity based protein profiling assay in presence of 200 uM HxBpane competitor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140994";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";"";"";""
"CHEMBL4454286";"";"None";"267.16";"None";"None";"MS05";"C[C@H](CS)C(=O)N[C@@H](Cc1ccccc1)B(O)O";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL4374960";"Inhibition of human C-terminal His/FLAG-tagged ACE-2 expressed in HEK293 cells at 100 uM preincubated for 10 mins followed by Mca-Ala-Pro-Lys(Dnp)-OH substrate addition by fluorescence assay relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4373692";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL4451026";"";"None";"343.26";"None";"None";"MS06";"O=C(N[C@@H](Cc1ccccc1)B(O)O)C(CS)Cc1ccccc1";"Inhibition";"'='";"63.2";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4374960";"Inhibition of human C-terminal His/FLAG-tagged ACE-2 expressed in HEK293 cells at 100 uM preincubated for 10 mins followed by Mca-Ala-Pro-Lys(Dnp)-OH substrate addition by fluorescence assay relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4373692";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL4545947";"";"None";"271.12";"None";"None";"MS23";"C[C@H](CS)C(=O)N[C@@H](B(O)O)c1ccc(F)cc1";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL4374960";"Inhibition of human C-terminal His/FLAG-tagged ACE-2 expressed in HEK293 cells at 100 uM preincubated for 10 mins followed by Mca-Ala-Pro-Lys(Dnp)-OH substrate addition by fluorescence assay relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4373692";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL4438924";"";"None";"219.12";"None";"None";"MS29";"CC(C)[C@@H](NC(=O)[C@H](C)CS)B(O)O";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL4374960";"Inhibition of human C-terminal His/FLAG-tagged ACE-2 expressed in HEK293 cells at 100 uM preincubated for 10 mins followed by Mca-Ala-Pro-Lys(Dnp)-OH substrate addition by fluorescence assay relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4373692";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL4455145";"";"None";"293.15";"None";"None";"MS32";"O=C(CCS)N[C@H](Cc1coc2ccccc12)B(O)O";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL4374960";"Inhibition of human C-terminal His/FLAG-tagged ACE-2 expressed in HEK293 cells at 100 uM preincubated for 10 mins followed by Mca-Ala-Pro-Lys(Dnp)-OH substrate addition by fluorescence assay relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4373692";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL4439726";"";"None";"307.18";"None";"None";"MS18";"C[C@H](CS)C(=O)N[C@@H](Cc1coc2ccccc12)B(O)O";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL4374960";"Inhibition of human C-terminal His/FLAG-tagged ACE-2 expressed in HEK293 cells at 100 uM preincubated for 10 mins followed by Mca-Ala-Pro-Lys(Dnp)-OH substrate addition by fluorescence assay relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4373692";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL258683";"";"None";"405.39";"0";"3.47";"15";"C[C@@H](NC(=O)OCc1ccccc1)P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)O";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL4080520";"";"None";"498.58";"0";"3.45";"(S)-17b";"CNC(=O)[C@@H](NC(=O)c1ccc(-c2ccc(CSc3nc4c(c(=O)[nH]3)CCC4)c(F)c2)o1)C(C)C";"Inhibition";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4017414";"Inhibition of ACE2 (unknown origin) at 1 uM relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4014357";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";""
"CHEMBL260273";"";"None";"452.49";"0";"2.70";"28";"CC(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@@H]1P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)O";"Ki";"'='";"0.35";"nM";"9.46";"";"";"UO_0000065";"20.90";"0.42";"6.76";"7.63";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL271225";"";"None";"371.50";"0";"3.81";"1o";"CC(C)C[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O";"Ki";"'='";"1.4";"nM";"8.85";"";"";"UO_0000065";"23.83";"0.47";"5.04";"13.33";"0";"CHEMBL933038";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142293";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL261423";"";"None";"476.47";"0";"1.62";"34-FII";"CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@@H]1P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)O";"Ki";"'='";"0.7";"nM";"9.15";"";"";"UO_0000065";"19.21";"0.38";"7.53";"6.00";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL251809";"";"None";"469.53";"0";"4.74";"1s";"CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2ccc(C(F)(F)F)cc2)cc1)C(=O)O";"Ki";"'='";"35.0";"nM";"7.46";"";"";"UO_0000065";"15.88";"0.32";"2.72";"9.86";"0";"CHEMBL928315";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
